Geography,date_fmt,Date,Cumulative Deaths,date_str,date_value,current_date,,,,
United States,"Oct 14, 2023",Oct 14 2023,1150701,"Oct 14, 2023",10/14/2023,"October 14, 2023",,,,
United States,"Oct 21, 2023",Oct 21 2023,1152093,"Oct 21, 2023",10/21/2023,"October 21, 2023",,,,
United States,"Oct 28, 2023",Oct 28 2023,1153384,"Oct 28, 2023",10/28/2023,"October 28, 2023",,,,
United States,"Nov  4, 2023",Nov  4 2023,1154630,"Nov 04, 2023",11/4/2023,"November 4, 2023",,,,
United States,"Nov 11, 2023",Nov 11 2023,1156022,"Nov 11, 2023",11/11/2023,"November 11, 2023",,,,
United States,"Nov 18, 2023",Nov 18 2023,1157453,"Nov 18, 2023",11/18/2023,"November 18, 2023",,,,
United States,"Nov 25, 2023",Nov 25 2023,1158876,"Nov 25, 2023",11/25/2023,"November 25, 2023",,,,
United States,"Dec  2, 2023",Dec  2 2023,1160607,"Dec 02, 2023",12/2/2023,"December 2, 2023",,,,
United States,"Dec  9, 2023",Dec  9 2023,1162399,"Dec 09, 2023",12/9/2023,"December 9, 2023",,,,
United States,"Dec 16, 2023",Dec 16 2023,1164243,"Dec 16, 2023",12/16/2023,"December 16, 2023",,,,
United States,"Dec 23, 2023",Dec 23 2023,1166178,"Dec 23, 2023",12/23/2023,"December 23, 2023",,,,
United States,"Dec 30, 2023",Dec 30 2023,1168407,"Dec 30, 2023",12/30/2023,"December 30, 2023",,,,
United States,"Jan  6, 2024",Jan  6 2024,1170897,"Jan 06, 2024",1/6/2024,"January 6, 2024",,,,
United States,"Jan 13, 2024",Jan 13 2024,1173475,"Jan 13, 2024",1/13/2024,"January 13, 2024",,,,
United States,"Jan 20, 2024",Jan 20 2024,1175833,"Jan 20, 2024",1/20/2024,"January 20, 2024",,,,
United States,"Jan 27, 2024",Jan 27 2024,1177962,"Jan 27, 2024",1/27/2024,"January 27, 2024",,,,
United States,"Feb  3, 2024",Feb  3 2024,1179698,"Feb 03, 2024",2/3/2024,"February 3, 2024",,,,
United States,"Feb 10, 2024",Feb 10 2024,1181307,"Feb 10, 2024",2/10/2024,"February 10, 2024",,,,
United States,"Feb 17, 2024",Feb 17 2024,1182691,"Feb 17, 2024",2/17/2024,"February 17, 2024",,,,
United States,"Feb 24, 2024",Feb 24 2024,1184008,"Feb 24, 2024",2/24/2024,"February 24, 2024",,,,
United States,"Mar  2, 2024",Mar  2 2024,1185269,"Mar 02, 2024",3/2/2024,"March 2, 2024",,,,
United States,"Mar  9, 2024",Mar  9 2024,1186365,"Mar 09, 2024",3/9/2024,"March 9, 2024",,,,
United States,"Mar 16, 2024",Mar 16 2024,1187398,"Mar 16, 2024",3/16/2024,"March 16, 2024",,,,
United States,"Mar 23, 2024",Mar 23 2024,1188238,"Mar 23, 2024",3/23/2024,"March 23, 2024",,,,
United States,"Mar 30, 2024",Mar 30 2024,1188966,"Mar 30, 2024",3/30/2024,"March 30, 2024",,,,
United States,"Apr  6, 2024",Apr  6 2024,1189590,"Apr 06, 2024",4/6/2024,"April 6, 2024",,,,
United States,"Apr 13, 2024",Apr 13 2024,1190147,"Apr 13, 2024",4/13/2024,"April 13, 2024",,,,
United States,"Apr 20, 2024",Apr 20 2024,1190636,"Apr 20, 2024",4/20/2024,"April 20, 2024",,,,
United States,"Apr 27, 2024",Apr 27 2024,1191056,"Apr 27, 2024",4/27/2024,"April 27, 2024",,,,
